11/15/2022 at 22:04:13 | INFO | marketdata.financialdata.tickers | [+] Begin extracting company information:
11/15/2022 at 22:39:44 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/D.htm for OTCBB exchange
11/15/2022 at 22:39:45 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/E.htm for OTCBB exchange
11/15/2022 at 22:39:46 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/F.htm for OTCBB exchange
11/15/2022 at 22:39:47 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/G.htm for OTCBB exchange
11/15/2022 at 22:39:48 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/H.htm for OTCBB exchange
11/15/2022 at 22:39:49 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/I.htm for OTCBB exchange
11/15/2022 at 22:39:49 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/J.htm for OTCBB exchange
11/15/2022 at 22:39:50 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/K.htm for OTCBB exchange
11/15/2022 at 22:39:51 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/L.htm for OTCBB exchange
11/15/2022 at 22:39:52 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/M.htm for OTCBB exchange
11/15/2022 at 22:39:53 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/N.htm for OTCBB exchange
11/15/2022 at 22:39:54 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/O.htm for OTCBB exchange
11/15/2022 at 22:39:55 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/P.htm for OTCBB exchange
11/15/2022 at 22:39:56 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/Q.htm for OTCBB exchange
11/15/2022 at 22:39:57 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/R.htm for OTCBB exchange
11/15/2022 at 22:39:58 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/S.htm for OTCBB exchange
11/15/2022 at 22:40:00 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/T.htm for OTCBB exchange
11/15/2022 at 22:40:00 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/U.htm for OTCBB exchange
11/15/2022 at 22:40:01 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/V.htm for OTCBB exchange
11/15/2022 at 22:40:02 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/W.htm for OTCBB exchange
11/15/2022 at 22:40:03 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/X.htm for OTCBB exchange
11/15/2022 at 22:40:03 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/Y.htm for OTCBB exchange
11/15/2022 at 22:40:04 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/Z.htm for OTCBB exchange
11/15/2022 at 22:40:04 | INFO | marketdata.financialdata.tickers | Cleaned the symbols and names by removing hyphens and additional letters
11/15/2022 at 22:40:04 | INFO | marketdata.financialdata.tickers | Extracted 8931 groups of company symbols and names:
11/15/2022 at 22:40:04 | INFO | marketdata.financialdata.tickers | 8931 left after removing duplicates:
11/15/2022 at 22:40:04 | INFO | marketdata.financialdata.tickers | Removed 4781 unqualified symbols:
11/15/2022 at 22:40:04 | INFO | marketdata.financialdata.tickers | Kept 4150 qualified symbols:
11/15/2022 at 22:40:04 | INFO | marketdata.financialdata.tickers | [+] Add the exchange next to symbol and name
11/15/2022 at 22:40:04 | INFO | marketdata.financialdata.tickers | [+] Join the company sets
11/15/2022 at 22:40:04 | INFO | marketdata.financialdata.tickers | [+] Create company dataframe
11/15/2022 at 22:40:04 | INFO | marketdata.financialdata.tickers | [+] One last check to drop duplicate symbols and names:
11/15/2022 at 22:40:04 | SUCCESS | marketdata.financialdata.tickers | Retrieved all the company stock symbols and names. Returning a pandas dataframe:
11/15/2022 at 22:48:23 | INFO | marketdata.financialdata.tickers | [+] Begin extracting company information:
11/15/2022 at 22:48:23 | INFO | marketdata.financialdata.tickers | Get stock market tickers for NYSE exchange
11/15/2022 at 22:48:25 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/A.htm for NYSE exchange
11/15/2022 at 22:48:26 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/B.htm for NYSE exchange
11/15/2022 at 22:48:27 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/C.htm for NYSE exchange
11/15/2022 at 22:48:27 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/D.htm for NYSE exchange
11/15/2022 at 22:48:28 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/E.htm for NYSE exchange
11/15/2022 at 22:48:29 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/F.htm for NYSE exchange
11/15/2022 at 22:48:30 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/G.htm for NYSE exchange
11/15/2022 at 22:48:31 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/H.htm for NYSE exchange
11/15/2022 at 22:48:31 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/I.htm for NYSE exchange
11/15/2022 at 22:48:32 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/J.htm for NYSE exchange
11/15/2022 at 22:48:33 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/K.htm for NYSE exchange
11/15/2022 at 22:48:34 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/L.htm for NYSE exchange
11/15/2022 at 22:48:34 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/M.htm for NYSE exchange
11/15/2022 at 22:48:35 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/N.htm for NYSE exchange
11/15/2022 at 22:48:36 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/O.htm for NYSE exchange
11/15/2022 at 22:48:37 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/P.htm for NYSE exchange
11/15/2022 at 22:48:38 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/Q.htm for NYSE exchange
11/15/2022 at 22:48:39 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/R.htm for NYSE exchange
11/15/2022 at 22:48:39 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/S.htm for NYSE exchange
11/15/2022 at 22:48:40 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/T.htm for NYSE exchange
11/15/2022 at 22:48:41 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/U.htm for NYSE exchange
11/15/2022 at 22:48:42 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/V.htm for NYSE exchange
11/15/2022 at 22:48:42 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/W.htm for NYSE exchange
11/15/2022 at 22:48:43 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/X.htm for NYSE exchange
11/15/2022 at 22:48:44 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/Y.htm for NYSE exchange
11/15/2022 at 22:48:44 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/Z.htm for NYSE exchange
11/15/2022 at 22:48:44 | INFO | marketdata.financialdata.tickers | Cleaned the symbols and names by removing hyphens and additional letters
11/15/2022 at 22:48:44 | INFO | marketdata.financialdata.tickers | Extracted 3588 groups of company symbols and names:
11/15/2022 at 22:48:44 | INFO | marketdata.financialdata.tickers | 3500 left after removing duplicates:
11/15/2022 at 22:48:44 | INFO | marketdata.financialdata.tickers | Removed 0 unqualified symbols:
11/15/2022 at 22:48:44 | INFO | marketdata.financialdata.tickers | Kept 3500 qualified symbols:
11/15/2022 at 22:48:44 | INFO | marketdata.financialdata.tickers | Get stock market tickers for NASDAQ exchange
11/15/2022 at 22:48:46 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/A.htm for NASDAQ exchange
11/15/2022 at 22:48:47 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/B.htm for NASDAQ exchange
11/15/2022 at 22:48:48 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/C.htm for NASDAQ exchange
11/15/2022 at 22:48:49 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/D.htm for NASDAQ exchange
11/15/2022 at 22:48:50 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/E.htm for NASDAQ exchange
11/15/2022 at 22:48:51 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/F.htm for NASDAQ exchange
11/15/2022 at 22:48:52 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/G.htm for NASDAQ exchange
11/15/2022 at 22:48:52 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/H.htm for NASDAQ exchange
11/15/2022 at 22:48:53 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/I.htm for NASDAQ exchange
11/15/2022 at 22:48:54 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/J.htm for NASDAQ exchange
11/15/2022 at 22:48:55 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/K.htm for NASDAQ exchange
11/15/2022 at 22:48:57 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/L.htm for NASDAQ exchange
11/15/2022 at 22:48:58 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/M.htm for NASDAQ exchange
11/15/2022 at 22:48:59 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/N.htm for NASDAQ exchange
11/15/2022 at 22:49:00 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/O.htm for NASDAQ exchange
11/15/2022 at 22:49:01 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/P.htm for NASDAQ exchange
11/15/2022 at 22:49:02 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/Q.htm for NASDAQ exchange
11/15/2022 at 22:49:02 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/R.htm for NASDAQ exchange
11/15/2022 at 22:49:03 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/S.htm for NASDAQ exchange
11/15/2022 at 22:49:04 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/T.htm for NASDAQ exchange
11/15/2022 at 22:49:05 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/U.htm for NASDAQ exchange
11/15/2022 at 22:49:06 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/V.htm for NASDAQ exchange
11/15/2022 at 22:49:07 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/W.htm for NASDAQ exchange
11/15/2022 at 22:49:08 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/X.htm for NASDAQ exchange
11/15/2022 at 22:49:09 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/Y.htm for NASDAQ exchange
11/15/2022 at 22:49:09 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/Z.htm for NASDAQ exchange
11/15/2022 at 22:49:09 | INFO | marketdata.financialdata.tickers | Cleaned the symbols and names by removing hyphens and additional letters
11/15/2022 at 22:49:09 | INFO | marketdata.financialdata.tickers | Extracted 5743 groups of company symbols and names:
11/15/2022 at 22:49:09 | INFO | marketdata.financialdata.tickers | 5743 left after removing duplicates:
11/15/2022 at 22:49:09 | INFO | marketdata.financialdata.tickers | Removed 848 unqualified symbols:
11/15/2022 at 22:49:09 | INFO | marketdata.financialdata.tickers | Kept 4895 qualified symbols:
11/15/2022 at 22:49:09 | INFO | marketdata.financialdata.tickers | Get stock market tickers for AMEX exchange
11/15/2022 at 22:49:10 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/A.htm for AMEX exchange
11/15/2022 at 22:49:11 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/B.htm for AMEX exchange
11/15/2022 at 22:49:12 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/C.htm for AMEX exchange
11/15/2022 at 22:49:12 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/D.htm for AMEX exchange
11/15/2022 at 22:49:13 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/E.htm for AMEX exchange
11/15/2022 at 22:49:14 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/F.htm for AMEX exchange
11/15/2022 at 22:49:15 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/G.htm for AMEX exchange
11/15/2022 at 22:49:16 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/H.htm for AMEX exchange
11/15/2022 at 22:49:16 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/I.htm for AMEX exchange
11/15/2022 at 22:49:17 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/J.htm for AMEX exchange
11/15/2022 at 22:49:18 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/K.htm for AMEX exchange
11/15/2022 at 22:49:19 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/L.htm for AMEX exchange
11/15/2022 at 22:49:19 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/M.htm for AMEX exchange
11/15/2022 at 22:49:20 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/N.htm for AMEX exchange
11/15/2022 at 22:49:21 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/O.htm for AMEX exchange
11/15/2022 at 22:49:21 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/P.htm for AMEX exchange
11/15/2022 at 22:49:22 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/Q.htm for AMEX exchange
11/15/2022 at 22:49:23 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/R.htm for AMEX exchange
11/15/2022 at 22:49:24 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/S.htm for AMEX exchange
11/15/2022 at 22:49:25 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/T.htm for AMEX exchange
11/15/2022 at 22:49:26 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/U.htm for AMEX exchange
11/15/2022 at 22:49:27 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/V.htm for AMEX exchange
11/15/2022 at 22:49:27 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/W.htm for AMEX exchange
11/15/2022 at 22:49:28 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/X.htm for AMEX exchange
11/15/2022 at 22:49:29 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/Y.htm for AMEX exchange
11/15/2022 at 22:49:29 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/AMEX/Z.htm for AMEX exchange
11/15/2022 at 22:49:29 | INFO | marketdata.financialdata.tickers | Cleaned the symbols and names by removing hyphens and additional letters
11/15/2022 at 22:49:29 | INFO | marketdata.financialdata.tickers | Extracted 2898 groups of company symbols and names:
11/15/2022 at 22:49:29 | INFO | marketdata.financialdata.tickers | 2892 left after removing duplicates:
11/15/2022 at 22:49:29 | INFO | marketdata.financialdata.tickers | Removed 0 unqualified symbols:
11/15/2022 at 22:49:29 | INFO | marketdata.financialdata.tickers | Kept 2892 qualified symbols:
11/15/2022 at 22:49:29 | INFO | marketdata.financialdata.tickers | Get stock market tickers for OTCBB exchange
11/15/2022 at 22:49:31 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/A.htm for OTCBB exchange
11/15/2022 at 22:49:32 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/B.htm for OTCBB exchange
11/15/2022 at 22:49:35 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/C.htm for OTCBB exchange
11/15/2022 at 22:49:36 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/D.htm for OTCBB exchange
11/15/2022 at 22:49:38 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/E.htm for OTCBB exchange
11/15/2022 at 22:49:39 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/F.htm for OTCBB exchange
11/15/2022 at 22:49:40 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/G.htm for OTCBB exchange
11/15/2022 at 22:49:41 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/H.htm for OTCBB exchange
11/15/2022 at 22:49:42 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/I.htm for OTCBB exchange
11/15/2022 at 22:49:44 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/J.htm for OTCBB exchange
11/15/2022 at 22:49:45 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/K.htm for OTCBB exchange
11/15/2022 at 22:49:46 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/L.htm for OTCBB exchange
11/15/2022 at 22:49:47 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/M.htm for OTCBB exchange
11/15/2022 at 22:49:48 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/N.htm for OTCBB exchange
11/15/2022 at 22:49:48 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/O.htm for OTCBB exchange
11/15/2022 at 22:49:50 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/P.htm for OTCBB exchange
11/15/2022 at 22:49:50 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/Q.htm for OTCBB exchange
11/15/2022 at 22:49:51 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/R.htm for OTCBB exchange
11/15/2022 at 22:49:57 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/S.htm for OTCBB exchange
11/15/2022 at 22:49:58 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/T.htm for OTCBB exchange
11/15/2022 at 22:49:59 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/U.htm for OTCBB exchange
11/15/2022 at 22:49:59 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/V.htm for OTCBB exchange
11/15/2022 at 22:50:00 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/W.htm for OTCBB exchange
11/15/2022 at 22:50:01 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/X.htm for OTCBB exchange
11/15/2022 at 22:50:02 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/Y.htm for OTCBB exchange
11/15/2022 at 22:50:03 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/OTCBB/Z.htm for OTCBB exchange
11/15/2022 at 22:50:03 | INFO | marketdata.financialdata.tickers | Cleaned the symbols and names by removing hyphens and additional letters
11/15/2022 at 22:50:03 | INFO | marketdata.financialdata.tickers | Extracted 8931 groups of company symbols and names:
11/15/2022 at 22:50:03 | INFO | marketdata.financialdata.tickers | 8931 left after removing duplicates:
11/15/2022 at 22:50:03 | INFO | marketdata.financialdata.tickers | Removed 4781 unqualified symbols:
11/15/2022 at 22:50:03 | INFO | marketdata.financialdata.tickers | Kept 4150 qualified symbols:
11/15/2022 at 22:50:03 | INFO | marketdata.financialdata.tickers | [+] Add the exchange next to symbol and name
11/15/2022 at 22:50:03 | INFO | marketdata.financialdata.tickers | [+] Join the company sets
11/15/2022 at 22:50:03 | INFO | marketdata.financialdata.tickers | [+] Create company dataframe
11/15/2022 at 22:50:03 | INFO | marketdata.financialdata.tickers | [+] One last check to drop duplicate symbols and names:
11/15/2022 at 22:50:03 | SUCCESS | marketdata.financialdata.tickers | Retrieved all the company stock symbols and names. Returning a pandas dataframe:
11/15/2022 at 22:51:35 | INFO | marketdata.financialdata.tickers | [+] Begin extracting company information:
11/15/2022 at 22:51:35 | INFO | marketdata.financialdata.tickers | Get stock market tickers for NYSE exchange
11/15/2022 at 22:51:37 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/A.htm for NYSE exchange
11/15/2022 at 22:51:38 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/B.htm for NYSE exchange
11/15/2022 at 22:51:39 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/C.htm for NYSE exchange
11/15/2022 at 22:51:40 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/D.htm for NYSE exchange
11/15/2022 at 22:51:41 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/E.htm for NYSE exchange
11/15/2022 at 22:51:42 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/F.htm for NYSE exchange
11/15/2022 at 22:51:42 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/G.htm for NYSE exchange
11/15/2022 at 22:51:43 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/H.htm for NYSE exchange
11/15/2022 at 22:51:44 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/I.htm for NYSE exchange
11/15/2022 at 22:51:45 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/J.htm for NYSE exchange
11/15/2022 at 22:51:45 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/K.htm for NYSE exchange
11/15/2022 at 22:51:46 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/L.htm for NYSE exchange
11/15/2022 at 22:51:47 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/M.htm for NYSE exchange
11/15/2022 at 22:51:48 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/N.htm for NYSE exchange
11/15/2022 at 22:51:49 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/O.htm for NYSE exchange
11/15/2022 at 22:51:49 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/P.htm for NYSE exchange
11/15/2022 at 22:51:50 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/Q.htm for NYSE exchange
11/15/2022 at 22:51:51 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/R.htm for NYSE exchange
11/15/2022 at 22:51:52 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/S.htm for NYSE exchange
11/15/2022 at 22:51:53 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/T.htm for NYSE exchange
11/15/2022 at 22:51:59 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/U.htm for NYSE exchange
11/15/2022 at 22:52:00 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/V.htm for NYSE exchange
11/15/2022 at 22:52:01 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/W.htm for NYSE exchange
11/15/2022 at 22:52:01 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/X.htm for NYSE exchange
11/15/2022 at 22:52:02 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/Y.htm for NYSE exchange
11/15/2022 at 22:52:03 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/Z.htm for NYSE exchange
11/15/2022 at 22:52:03 | INFO | marketdata.financialdata.tickers | Cleaned the symbols and names by removing hyphens and additional letters
11/15/2022 at 22:52:03 | INFO | marketdata.financialdata.tickers | Extracted 3588 groups of company symbols and names:
11/15/2022 at 22:52:03 | INFO | marketdata.financialdata.tickers | 3500 left after removing duplicates:
11/15/2022 at 22:52:03 | INFO | marketdata.financialdata.tickers | Removed 0 unqualified symbols:
